period.number,period.name,period.start.time,period.end.time,period.is.daytime,period.temperature,period.temperature.unit,period.wind.speed,period.wind.direction,period.short.forecast,period.detailed.forecast
122,,1564329600,1564333200,TRUE,87,F,5 mph,ENE,Isolated Showers And Thunderstorms,
123,,1564333200,1564336800,TRUE,88,F,3 mph,NE,Isolated Showers And Thunderstorms,
124,,1564336800,1564340400,TRUE,88,F,3 mph,NNE,Scattered Showers And Thunderstorms,
125,,1564340400,1564344000,TRUE,88,F,5 mph,NNE,Scattered Showers And Thunderstorms,
126,,1564344000,1564347600,TRUE,88,F,6 mph,NNE,Scattered Showers And Thunderstorms,
127,,1564347600,1564351200,TRUE,87,F,6 mph,NNE,Scattered Showers And Thunderstorms,
128,,1564351200,1564354800,FALSE,85,F,7 mph,NNE,Scattered Showers And Thunderstorms,
129,,1564354800,1564358400,FALSE,84,F,7 mph,NNE,Scattered Showers And Thunderstorms,
130,,1564358400,1564362000,FALSE,82,F,6 mph,NNE,Scattered Showers And Thunderstorms,
131,,1564362000,1564365600,FALSE,80,F,6 mph,NNE,Scattered Showers And Thunderstorms,
132,,1564365600,1564369200,FALSE,79,F,5 mph,NE,Scattered Showers And Thunderstorms,
133,,1564369200,1564372800,FALSE,78,F,5 mph,ENE,Scattered Showers And Thunderstorms,
134,,1564372800,1564376400,FALSE,78,F,5 mph,ENE,Scattered Showers And Thunderstorms,
135,,1564376400,1564380000,FALSE,77,F,3 mph,E,Scattered Showers And Thunderstorms,
136,,1564380000,1564383600,FALSE,76,F,3 mph,E,Isolated Showers And Thunderstorms,
137,,1564383600,1564387200,FALSE,76,F,3 mph,E,Isolated Showers And Thunderstorms,
138,,1564387200,1564390800,FALSE,76,F,3 mph,E,Isolated Showers And Thunderstorms,
139,,1564390800,1564394400,FALSE,75,F,3 mph,E,Isolated Showers And Thunderstorms,
140,,1564394400,1564398000,TRUE,75,F,3 mph,E,Isolated Showers And Thunderstorms,
141,,1564398000,1564401600,TRUE,75,F,3 mph,E,Isolated Showers And Thunderstorms,
142,,1564401600,1564405200,TRUE,76,F,3 mph,E,Isolated Showers And Thunderstorms,
143,,1564405200,1564408800,TRUE,79,F,3 mph,E,Isolated Showers And Thunderstorms,
144,,1564408800,1564412400,TRUE,82,F,5 mph,E,Isolated Showers And Thunderstorms,
145,,1564412400,1564416000,TRUE,84,F,5 mph,E,Isolated Showers And Thunderstorms,
146,,1564416000,1564419600,TRUE,86,F,5 mph,ENE,Isolated Showers And Thunderstorms,
147,,1564419600,1564423200,TRUE,87,F,3 mph,NE,Isolated Showers And Thunderstorms,
148,,1564423200,1564426800,TRUE,87,F,3 mph,NNE,Scattered Showers And Thunderstorms,
149,,1564426800,1564430400,TRUE,88,F,5 mph,NNE,Scattered Showers And Thunderstorms,
150,,1564430400,1564434000,TRUE,88,F,6 mph,NNE,Scattered Showers And Thunderstorms,
151,,1564434000,1564437600,TRUE,87,F,7 mph,N,Scattered Showers And Thunderstorms,
152,,1564437600,1564441200,FALSE,85,F,7 mph,N,Scattered Showers And Thunderstorms,
153,,1564441200,1564444800,FALSE,84,F,7 mph,N,Scattered Showers And Thunderstorms,
154,,1564444800,1564448400,FALSE,82,F,6 mph,N,Scattered Showers And Thunderstorms,
155,,1564448400,1564452000,FALSE,80,F,6 mph,NNE,Scattered Showers And Thunderstorms,
156,,1564452000,1564455600,FALSE,79,F,5 mph,ENE,Scattered Showers And Thunderstorms,
