time.stamps,temperature,prob.precip,qty.precip
1563847200,25.000000000000057,0,0.254
1563850800,25.000000000000057,0,0.254
1563854400,25.000000000000057,0,0.254
1563858000,25.000000000000057,0,0.254
1563861600,25.000000000000057,12,0
1563865200,25.000000000000057,12,0
1563868800,25.000000000000057,12,0
1563872400,25.000000000000057,12,0
1563876000,25.000000000000057,12,0
1563879600,25.5555555555556,12,0
1563883200,26.1111111111112,26,0.508
1563886800,27.222222222222285,26,0.508
1563890400,28.33333333333337,26,0.508
1563894000,29.444444444444514,36,0.508
1563897600,29.444444444444514,36,0.508
1563901200,29.444444444444514,36,0.508
1563904800,28.88888888888897,28,0.508
1563908400,29.444444444444514,28,0.508
1563912000,29.444444444444514,28,0.508
1563915600,29.444444444444514,24,0.508
1563919200,28.88888888888897,24,0.508
1563922800,28.33333333333337,24,0.508
1563926400,28.33333333333337,18,0.254
1563930000,27.77777777777783,18,0.254
1563933600,26.666666666666742,18,0.254
1563937200,26.666666666666742,19,0.254
1563940800,26.666666666666742,19,0.254
1563944400,26.666666666666742,19,0.254
1563948000,26.666666666666742,46,3.3019999999999996
1563951600,26.1111111111112,46,3.3019999999999996
1563955200,26.1111111111112,46,3.3019999999999996
1563958800,26.1111111111112,48,3.3019999999999996
1563962400,26.1111111111112,48,3.3019999999999996
1563966000,26.1111111111112,48,3.3019999999999996
1563969600,26.666666666666742,74,7.365999999999999
1563973200,27.77777777777783,74,7.365999999999999
1563976800,28.88888888888897,74,7.365999999999999
1563980400,29.444444444444514,74,7.365999999999999
1563984000,29.444444444444514,74,7.365999999999999
1563987600,28.88888888888897,74,7.365999999999999
1563991200,28.88888888888897,59,5.334
1563994800,28.88888888888897,59,5.334
1563998400,28.88888888888897,59,5.334
1564002000,28.88888888888897,59,5.334
1564005600,28.33333333333337,59,5.334
1564009200,27.77777777777783,59,5.334
1564012800,27.222222222222285,80,2.54
1564016400,26.666666666666742,80,2.54
1564020000,26.1111111111112,80,2.54
1564023600,26.1111111111112,80,2.54
1564027200,25.5555555555556,80,2.54
1564030800,25.5555555555556,80,2.54
1564034400,25.5555555555556,79,4.318
1564038000,25.5555555555556,79,4.318
1564041600,25.000000000000057,79,4.318
1564045200,25.000000000000057,79,4.318
1564048800,25.000000000000057,79,4.318
1564052400,25.5555555555556,79,4.318
1564056000,26.1111111111112,78,5.588
1564059600,27.222222222222285,78,5.588
1564063200,28.33333333333337,78,5.588
1564066800,29.444444444444514,78,5.588
1564070400,29.444444444444514,78,5.588
1564074000,28.88888888888897,78,5.588
1564077600,28.88888888888897,69,5.588
1564081200,28.88888888888897,69,5.588
1564084800,28.88888888888897,69,5.588
1564088400,29.444444444444514,69,5.588
1564092000,28.88888888888897,69,5.588
1564095600,28.33333333333337,69,5.588
1564099200,27.77777777777783,40,0.762
1564102800,27.222222222222285,40,0.762
1564106400,26.666666666666742,40,0.762
1564110000,26.1111111111112,40,0.762
1564113600,25.5555555555556,40,0.762
1564117200,25.5555555555556,40,0.762
1564120800,25.5555555555556,43,1.27
1564124400,25.5555555555556,43,1.27
1564128000,25.5555555555556,43,1.27
1564131600,25.5555555555556,43,1.27
1564135200,25.5555555555556,43,1.27
1564138800,25.5555555555556,43,1.27
1564142400,26.1111111111112,44,0.762
1564146000,27.222222222222285,44,0.762
1564149600,28.33333333333337,44,0.762
1564153200,29.444444444444514,44,0.762
1564156800,30.000000000000057,44,0.762
1564160400,30.000000000000057,44,0.762
1564164000,30.000000000000057,41,0.762
1564167600,30.000000000000057,41,0.762
1564171200,30.000000000000057,41,0.762
1564174800,30.000000000000057,41,0.762
1564178400,29.444444444444514,41,0.762
1564182000,28.88888888888897,41,0.762
1564185600,28.33333333333337,18,0.508
1564189200,27.77777777777783,18,0.508
1564192800,26.666666666666742,18,0.508
1564196400,26.1111111111112,18,0.508
1564200000,26.1111111111112,18,0.508
1564203600,25.5555555555556,18,0.508
1564207200,25.5555555555556,22,0.254
1564210800,25.5555555555556,22,0.254
1564214400,25.5555555555556,22,0.254
1564218000,25.5555555555556,22,0.254
1564221600,25.5555555555556,22,0.254
1564225200,25.5555555555556,22,0.254
1564228800,26.1111111111112,20,0.254
1564232400,27.222222222222285,20,0.254
1564236000,28.33333333333337,20,0.254
1564239600,30.000000000000057,20,0.254
1564243200,30.5555555555556,20,0.254
1564246800,30.5555555555556,20,0.254
1564250400,30.5555555555556,34,1.016
1564254000,30.5555555555556,34,1.016
1564257600,30.5555555555556,34,1.016
1564261200,30.5555555555556,34,1.016
1564264800,30.5555555555556,34,1.016
1564268400,30.000000000000057,34,1.016
1564272000,28.88888888888897,15,0.254
1564275600,27.77777777777783,15,0.254
1564279200,27.222222222222285,15,0.254
1564282800,26.666666666666742,15,0.254
1564286400,26.1111111111112,15,0.254
1564290000,26.1111111111112,15,0.254
1564293600,25.5555555555556,24,0.762
1564297200,25.5555555555556,24,0.762
1564300800,25.5555555555556,24,0.762
1564304400,25.000000000000057,24,0.762
1564308000,25.000000000000057,24,0.762
1564311600,25.000000000000057,24,0.762
1564315200,26.1111111111112,25,0.508
1564318800,27.222222222222285,25,0.508
1564322400,28.33333333333337,25,0.508
1564326000,30.000000000000057,25,0.508
1564329600,30.5555555555556,25,0.508
1564333200,30.5555555555556,25,0.508
1564336800,30.5555555555556,36,0.762
1564340400,30.5555555555556,36,0.762
1564344000,30.5555555555556,36,0.762
1564347600,30.5555555555556,36,0.762
1564351200,30.000000000000057,36,0.762
1564354800,30.000000000000057,36,0.762
1564358400,28.88888888888897,28,0.762
1564362000,28.33333333333337,28,0.762
1564365600,27.222222222222285,28,0.762
1564369200,26.666666666666742,28,0.762
1564372800,26.666666666666742,28,0.762
1564376400,26.1111111111112,28,0.762
1564380000,26.1111111111112,23,0.762
1564383600,25.5555555555556,23,0.762
1564387200,25.5555555555556,23,0.762
1564390800,25.000000000000057,23,0.762
1564394400,25.000000000000057,23,0.762
1564398000,25.000000000000057,23,0.762
1564401600,25.5555555555556,19,0.508
1564405200,26.666666666666742,19,0.508
1564408800,28.33333333333337,19,0.508
1564412400,29.444444444444514,19,0.508
1564416000,30.000000000000057,19,0.508
1564419600,30.000000000000057,19,0.508
1564423200,30.000000000000057,31,0.508
1564426800,30.000000000000057,31,0.508
1564430400,30.000000000000057,31,0.508
1564434000,30.000000000000057,31,0.508
1564437600,30.000000000000057,31,0.508
1564441200,29.444444444444514,31,0.508
1564444800,28.88888888888897,25,0.508
1564448400,27.77777777777783,25,0.508
1564452000,27.222222222222285,25,0.508
1564455600,26.1111111111112,25,0.508
1564459200,26.1111111111112,25,0.508
1564462800,25.5555555555556,25,0.508
1564466400,25.5555555555556,17,0.254
1564470000,25.5555555555556,17,0.254
1564473600,25.5555555555556,17,0.254
1564477200,25.000000000000057,17,0.254
1564480800,25.000000000000057,17,0.254
1564484400,25.000000000000057,17,0.254
1564488000,25.5555555555556,26,0.254
1564491600,26.666666666666742,26,0.254
1564495200,28.33333333333337,26,0.254
1564498800,29.444444444444514,26,0.254
1564502400,30.000000000000057,26,0.254
1564506000,30.000000000000057,26,0.254
1564509600,30.000000000000057,35,0.254
1564513200,30.5555555555556,35,0.254
1564516800,30.5555555555556,35,0.254
1564520400,30.5555555555556,35,0.254
1564524000,30.000000000000057,35,0.254
1564527600,29.444444444444514,35,0.254
1564531200,28.88888888888897,24,0.254
