time.stamps,temperature,prob.precip,qty.precip
1563847200,23.33333333333337,61,0.254
1563850800,23.33333333333337,0,0.254
1563854400,23.33333333333337,0,0.254
1563858000,23.33333333333337,0,0.254
1563861600,23.33333333333337,8,0
1563865200,23.33333333333337,8,0
1563868800,23.33333333333337,8,0
1563872400,23.33333333333337,7,0
1563876000,23.33333333333337,7,0
1563879600,23.88888888888897,7,0
1563883200,24.444444444444514,26,0.254
1563886800,26.1111111111112,26,0.254
1563890400,28.33333333333337,26,0.254
1563894000,28.88888888888897,38,0.254
1563897600,30.000000000000057,38,0.254
1563901200,30.000000000000057,38,0.254
1563904800,30.000000000000057,40,1.016
1563908400,29.444444444444514,40,1.016
1563912000,29.444444444444514,40,1.016
1563915600,29.444444444444514,32,1.016
1563919200,28.88888888888897,32,1.016
1563922800,28.33333333333337,32,1.016
1563926400,27.222222222222285,17,0.508
1563930000,26.1111111111112,17,0.508
1563933600,25.5555555555556,17,0.508
1563937200,25.000000000000057,19,0.508
1563940800,25.000000000000057,19,0.508
1563944400,24.444444444444514,19,0.508
1563948000,24.444444444444514,41,0.762
1563951600,24.444444444444514,41,0.762
1563955200,24.444444444444514,41,0.762
1563958800,24.444444444444514,43,0.762
1563962400,24.444444444444514,43,0.762
1563966000,24.444444444444514,43,0.762
1563969600,25.5555555555556,77,7.112
1563973200,26.666666666666742,77,7.112
1563976800,27.77777777777783,77,7.112
1563980400,28.88888888888897,77,7.112
1563984000,28.88888888888897,77,7.112
1563987600,28.33333333333337,77,7.112
1563991200,28.88888888888897,64,7.619999999999999
1563994800,28.88888888888897,64,7.619999999999999
1563998400,28.33333333333337,64,7.619999999999999
1564002000,27.77777777777783,64,7.619999999999999
1564005600,27.222222222222285,64,7.619999999999999
1564009200,26.1111111111112,64,7.619999999999999
1564012800,25.5555555555556,74,2.54
1564016400,25.000000000000057,74,2.54
1564020000,24.444444444444514,74,2.54
1564023600,24.444444444444514,74,2.54
1564027200,24.444444444444514,74,2.54
1564030800,23.88888888888897,74,2.54
1564034400,23.88888888888897,68,2.2859999999999996
1564038000,23.88888888888897,68,2.2859999999999996
1564041600,23.33333333333337,68,2.2859999999999996
1564045200,23.33333333333337,68,2.2859999999999996
1564048800,23.33333333333337,68,2.2859999999999996
1564052400,23.88888888888897,68,2.2859999999999996
1564056000,24.444444444444514,73,4.571999999999999
1564059600,25.5555555555556,73,4.571999999999999
1564063200,26.666666666666742,73,4.571999999999999
1564066800,27.77777777777783,73,4.571999999999999
1564070400,28.88888888888897,73,4.571999999999999
1564074000,28.88888888888897,73,4.571999999999999
1564077600,28.88888888888897,71,7.112
1564081200,28.88888888888897,71,7.112
1564084800,28.88888888888897,71,7.112
1564088400,28.33333333333337,71,7.112
1564092000,27.77777777777783,71,7.112
1564095600,26.666666666666742,71,7.112
1564099200,26.1111111111112,40,0.254
1564102800,25.000000000000057,40,0.254
1564106400,24.444444444444514,40,0.254
1564110000,23.88888888888897,40,0.254
1564113600,23.88888888888897,40,0.254
1564117200,23.88888888888897,40,0.254
1564120800,23.88888888888897,31,0.254
1564124400,23.88888888888897,31,0.254
1564128000,23.33333333333337,31,0.254
1564131600,23.33333333333337,31,0.254
1564135200,23.33333333333337,31,0.254
1564138800,23.33333333333337,31,0.254
1564142400,24.444444444444514,40,1.016
1564146000,26.1111111111112,40,1.016
1564149600,27.77777777777783,40,1.016
1564153200,29.444444444444514,40,1.016
1564156800,30.5555555555556,40,1.016
1564160400,31.1111111111112,40,1.016
1564164000,31.1111111111112,58,2.032
1564167600,31.1111111111112,58,2.032
1564171200,30.5555555555556,58,2.032
1564174800,30.000000000000057,58,2.032
1564178400,28.88888888888897,58,2.032
1564182000,27.77777777777783,58,2.032
1564185600,26.666666666666742,21,0.508
1564189200,25.5555555555556,21,0.508
1564192800,25.000000000000057,21,0.508
1564196400,24.444444444444514,21,0.508
1564200000,24.444444444444514,21,0.508
1564203600,23.88888888888897,21,0.508
1564207200,23.88888888888897,13,0
1564210800,23.33333333333337,13,0
1564214400,23.33333333333337,13,0
1564218000,23.33333333333337,13,0
1564221600,23.33333333333337,13,0
1564225200,23.33333333333337,13,0
1564228800,24.444444444444514,16,0.254
1564232400,26.1111111111112,16,0.254
1564236000,28.33333333333337,16,0.254
1564239600,30.000000000000057,16,0.254
1564243200,31.1111111111112,16,0.254
1564246800,31.666666666666742,16,0.254
1564250400,32.222222222222285,55,2.2859999999999996
1564254000,32.222222222222285,55,2.2859999999999996
1564257600,31.666666666666742,55,2.2859999999999996
1564261200,30.5555555555556,55,2.2859999999999996
1564264800,30.000000000000057,55,2.2859999999999996
1564268400,28.88888888888897,55,2.2859999999999996
1564272000,27.77777777777783,15,0.254
1564275600,26.666666666666742,15,0.254
1564279200,25.5555555555556,15,0.254
1564282800,25.000000000000057,15,0.254
1564286400,25.000000000000057,15,0.254
1564290000,24.444444444444514,15,0.254
1564293600,24.444444444444514,16,0.508
1564297200,24.444444444444514,16,0.508
1564300800,23.88888888888897,16,0.508
1564304400,23.33333333333337,16,0.508
1564308000,23.33333333333337,16,0.508
1564311600,23.88888888888897,16,0.508
1564315200,24.444444444444514,23,0.762
1564318800,26.1111111111112,23,0.762
1564322400,28.33333333333337,23,0.762
1564326000,30.000000000000057,23,0.762
1564329600,31.666666666666742,23,0.762
1564333200,32.222222222222285,23,0.762
1564336800,32.222222222222285,52,2.032
