period.number,period.name,period.start.time,period.end.time,period.is.daytime,period.temperature,period.temperature.unit,period.wind.speed,period.wind.direction,period.short.forecast,period.detailed.forecast
1,,1563876000,1563879600,FALSE,77,F,5 mph,SW,Chance Showers And Thunderstorms,
2,,1563879600,1563883200,TRUE,76,F,5 mph,SW,Chance Showers And Thunderstorms,
3,,1563883200,1563886800,TRUE,76,F,5 mph,W,Showers And Thunderstorms,
4,,1563886800,1563890400,TRUE,80,F,5 mph,W,Showers And Thunderstorms,
5,,1563890400,1563894000,TRUE,83,F,10 mph,W,Showers And Thunderstorms,
6,,1563894000,1563897600,TRUE,84,F,10 mph,SW,Showers And Thunderstorms,
7,,1563897600,1563901200,TRUE,87,F,10 mph,SW,Showers And Thunderstorms,
8,,1563901200,1563904800,TRUE,87,F,10 mph,SW,Showers And Thunderstorms,
9,,1563904800,1563908400,TRUE,87,F,10 mph,SW,Showers And Thunderstorms,
10,,1563908400,1563912000,TRUE,85,F,10 mph,SW,Showers And Thunderstorms,
11,,1563912000,1563915600,TRUE,83,F,5 mph,W,Showers And Thunderstorms,
12,,1563915600,1563919200,TRUE,82,F,5 mph,W,Showers And Thunderstorms,
13,,1563919200,1563922800,TRUE,81,F,5 mph,W,Showers And Thunderstorms,
14,,1563922800,1563926400,FALSE,80,F,5 mph,NW,Showers And Thunderstorms,
15,,1563926400,1563930000,FALSE,79,F,5 mph,NW,Showers And Thunderstorms Likely,
16,,1563930000,1563933600,FALSE,77,F,5 mph,NW,Showers And Thunderstorms Likely,
17,,1563933600,1563937200,FALSE,76,F,5 mph,NW,Showers And Thunderstorms Likely,
18,,1563937200,1563940800,FALSE,76,F,5 mph,N,Showers And Thunderstorms Likely,
19,,1563940800,1563944400,FALSE,75,F,5 mph,N,Showers And Thunderstorms Likely,
20,,1563944400,1563948000,FALSE,75,F,5 mph,N,Showers And Thunderstorms Likely,
21,,1563948000,1563951600,FALSE,75,F,5 mph,N,Chance Showers And Thunderstorms,
22,,1563951600,1563955200,FALSE,74,F,5 mph,N,Chance Showers And Thunderstorms,
23,,1563955200,1563958800,FALSE,74,F,5 mph,N,Chance Showers And Thunderstorms,
24,,1563958800,1563962400,FALSE,72,F,5 mph,N,Chance Showers And Thunderstorms,
25,,1563962400,1563966000,FALSE,71,F,5 mph,N,Chance Showers And Thunderstorms,
