period.number,period.name,period.start.time,period.end.time,period.is.daytime,period.temperature,period.temperature.unit,period.wind.speed,period.wind.direction,period.short.forecast,period.detailed.forecast
89,,1563969600,1563973200,TRUE,77,F,2 mph,SW,Scattered Showers And Thunderstorms,
90,,1563973200,1563976800,TRUE,80,F,2 mph,SW,Scattered Showers And Thunderstorms,
91,,1563976800,1563980400,TRUE,83,F,5 mph,SW,Scattered Showers And Thunderstorms,
92,,1563980400,1563984000,TRUE,86,F,6 mph,SW,Scattered Showers And Thunderstorms,
93,,1563984000,1563987600,TRUE,86,F,6 mph,SW,Scattered Showers And Thunderstorms,
94,,1563987600,1563991200,TRUE,87,F,7 mph,SW,Scattered Showers And Thunderstorms,
95,,1563991200,1563994800,TRUE,87,F,7 mph,SW,Chance Showers And Thunderstorms,
96,,1563994800,1563998400,TRUE,87,F,8 mph,WSW,Chance Showers And Thunderstorms,
97,,1563998400,1564002000,TRUE,87,F,8 mph,WSW,Chance Showers And Thunderstorms,
98,,1564002000,1564005600,TRUE,86,F,8 mph,W,Chance Showers And Thunderstorms,
99,,1564005600,1564009200,FALSE,84,F,7 mph,W,Chance Showers And Thunderstorms,
100,,1564009200,1564012800,FALSE,82,F,6 mph,WSW,Chance Showers And Thunderstorms,
101,,1564012800,1564016400,FALSE,80,F,5 mph,WSW,Scattered Showers And Thunderstorms,
102,,1564016400,1564020000,FALSE,79,F,3 mph,WSW,Scattered Showers And Thunderstorms,
103,,1564020000,1564023600,FALSE,78,F,2 mph,WSW,Scattered Showers And Thunderstorms,
104,,1564023600,1564027200,FALSE,77,F,2 mph,WSW,Scattered Showers And Thunderstorms,
105,,1564027200,1564030800,FALSE,77,F,2 mph,WSW,Scattered Showers And Thunderstorms,
106,,1564030800,1564034400,FALSE,76,F,2 mph,SW,Scattered Showers And Thunderstorms,
107,,1564034400,1564038000,FALSE,76,F,2 mph,SW,Partly Cloudy,
108,,1564038000,1564041600,FALSE,75,F,1 mph,SW,Partly Cloudy,
109,,1564041600,1564045200,FALSE,75,F,1 mph,SSW,Partly Cloudy,
110,,1564045200,1564048800,FALSE,74,F,1 mph,SSW,Partly Cloudy,
111,,1564048800,1564052400,TRUE,75,F,1 mph,SSW,Mostly Sunny,
112,,1564052400,1564056000,TRUE,76,F,1 mph,S,Mostly Sunny,
113,,1564056000,1564059600,TRUE,76,F,2 mph,S,Scattered Showers And Thunderstorms,
114,,1564059600,1564063200,TRUE,79,F,2 mph,SSW,Scattered Showers And Thunderstorms,
115,,1564063200,1564066800,TRUE,82,F,3 mph,SW,Scattered Showers And Thunderstorms,
116,,1564066800,1564070400,TRUE,85,F,5 mph,WSW,Scattered Showers And Thunderstorms,
117,,1564070400,1564074000,TRUE,86,F,6 mph,WSW,Scattered Showers And Thunderstorms,
118,,1564074000,1564077600,TRUE,86,F,6 mph,WSW,Scattered Showers And Thunderstorms,
119,,1564077600,1564081200,TRUE,87,F,7 mph,WSW,Scattered Showers And Thunderstorms,
120,,1564081200,1564084800,TRUE,87,F,7 mph,WSW,Scattered Showers And Thunderstorms,
121,,1564084800,1564088400,TRUE,86,F,6 mph,W,Scattered Showers And Thunderstorms,
122,,1564088400,1564092000,TRUE,86,F,6 mph,W,Scattered Showers And Thunderstorms,
123,,1564092000,1564095600,FALSE,84,F,5 mph,W,Scattered Showers And Thunderstorms,
124,,1564095600,1564099200,FALSE,82,F,5 mph,W,Scattered Showers And Thunderstorms,
125,,1564099200,1564102800,FALSE,80,F,3 mph,W,Isolated Showers And Thunderstorms,
126,,1564102800,1564106400,FALSE,79,F,2 mph,W,Isolated Showers And Thunderstorms,
127,,1564106400,1564110000,FALSE,78,F,1 mph,W,Isolated Showers And Thunderstorms,
128,,1564110000,1564113600,FALSE,77,F,1 mph,W,Isolated Showers And Thunderstorms,
129,,1564113600,1564117200,FALSE,77,F,1 mph,WSW,Isolated Showers And Thunderstorms,
130,,1564117200,1564120800,FALSE,76,F,1 mph,S,Isolated Showers And Thunderstorms,
131,,1564120800,1564124400,FALSE,76,F,1 mph,S,Partly Cloudy,
132,,1564124400,1564128000,FALSE,76,F,0 mph,S,Partly Cloudy,
133,,1564128000,1564131600,FALSE,75,F,0 mph,S,Partly Cloudy,
134,,1564131600,1564135200,FALSE,75,F,0 mph,N,Partly Cloudy,
135,,1564135200,1564138800,TRUE,75,F,0 mph,SSE,Mostly Sunny,
136,,1564138800,1564142400,TRUE,76,F,0 mph,SSE,Mostly Sunny,
137,,1564142400,1564146000,TRUE,76,F,1 mph,SSE,Scattered Showers And Thunderstorms,
138,,1564146000,1564149600,TRUE,79,F,1 mph,SSE,Scattered Showers And Thunderstorms,
139,,1564149600,1564153200,TRUE,83,F,1 mph,S,Scattered Showers And Thunderstorms,
140,,1564153200,1564156800,TRUE,86,F,2 mph,S,Scattered Showers And Thunderstorms,
141,,1564156800,1564160400,TRUE,87,F,2 mph,S,Scattered Showers And Thunderstorms,
142,,1564160400,1564164000,TRUE,88,F,2 mph,S,Scattered Showers And Thunderstorms,
143,,1564164000,1564167600,TRUE,90,F,2 mph,S,Chance Showers And Thunderstorms,
144,,1564167600,1564171200,TRUE,89,F,2 mph,SSW,Chance Showers And Thunderstorms,
145,,1564171200,1564174800,TRUE,89,F,2 mph,WSW,Chance Showers And Thunderstorms,
146,,1564174800,1564178400,TRUE,88,F,2 mph,W,Chance Showers And Thunderstorms,
147,,1564178400,1564182000,FALSE,86,F,2 mph,SW,Chance Showers And Thunderstorms,
148,,1564182000,1564185600,FALSE,84,F,2 mph,SE,Chance Showers And Thunderstorms,
149,,1564185600,1564189200,FALSE,81,F,2 mph,E,Isolated Showers And Thunderstorms,
150,,1564189200,1564192800,FALSE,80,F,2 mph,E,Isolated Showers And Thunderstorms,
151,,1564192800,1564196400,FALSE,79,F,2 mph,E,Isolated Showers And Thunderstorms,
152,,1564196400,1564200000,FALSE,78,F,2 mph,E,Isolated Showers And Thunderstorms,
153,,1564200000,1564203600,FALSE,77,F,2 mph,E,Isolated Showers And Thunderstorms,
154,,1564203600,1564207200,FALSE,76,F,2 mph,E,Isolated Showers And Thunderstorms,
155,,1564207200,1564210800,FALSE,76,F,2 mph,E,Partly Cloudy,
156,,1564210800,1564214400,FALSE,75,F,1 mph,E,Partly Cloudy,
