time.stamps,temperature,prob.precip,qty.precip
1563627600,27.77777777777783,9,0
1563631200,29.444444444444514,9,0
1563634800,30.5555555555556,11,0
1563638400,31.666666666666742,11,0
1563642000,32.222222222222285,11,0
1563645600,32.222222222222285,53,4.571999999999999
1563649200,33.33333333333337,53,4.571999999999999
1563652800,33.33333333333337,53,4.571999999999999
1563656400,30.5555555555556,57,4.571999999999999
1563660000,28.33333333333337,57,4.571999999999999
1563663600,26.666666666666742,57,4.571999999999999
1563667200,25.5555555555556,31,0.508
1563670800,25.000000000000057,31,0.508
1563674400,25.000000000000057,31,0.508
1563678000,25.000000000000057,18,0.508
1563681600,24.444444444444514,18,0.508
1563685200,24.444444444444514,18,0.508
1563688800,23.88888888888897,3,0
1563692400,23.88888888888897,3,0
1563696000,23.88888888888897,3,0
1563699600,23.88888888888897,0,0
1563703200,23.33333333333337,0,0
1563706800,23.33333333333337,0,0
1563710400,24.444444444444514,0,0
1563714000,27.222222222222285,0,0
1563717600,28.88888888888897,0,0
1563721200,30.000000000000057,2,0
1563724800,31.1111111111112,2,0
1563728400,31.666666666666742,2,0
1563732000,33.33333333333337,36,4.826
1563735600,33.33333333333337,36,4.826
1563739200,33.33333333333337,36,4.826
1563742800,30.5555555555556,56,4.826
1563746400,29.444444444444514,56,4.826
1563750000,27.77777777777783,56,4.826
1563753600,25.5555555555556,18,1.27
1563757200,26.1111111111112,18,1.27
1563760800,25.000000000000057,18,1.27
1563764400,25.000000000000057,18,1.27
1563768000,24.444444444444514,18,1.27
1563771600,24.444444444444514,18,1.27
1563775200,24.444444444444514,0,0
1563778800,23.88888888888897,0,0
1563782400,23.88888888888897,0,0
1563786000,23.33333333333337,0,0
1563789600,23.88888888888897,0,0
1563793200,23.88888888888897,0,0
1563796800,24.444444444444514,18,0.254
1563800400,26.1111111111112,18,0.254
1563804000,28.33333333333337,18,0.254
1563807600,30.000000000000057,18,0.254
1563811200,30.5555555555556,18,0.254
1563814800,31.1111111111112,18,0.254
1563818400,31.666666666666742,54,6.603999999999999
1563822000,31.666666666666742,54,6.603999999999999
1563825600,31.1111111111112,54,6.603999999999999
1563829200,31.1111111111112,54,6.603999999999999
1563832800,29.444444444444514,54,6.603999999999999
1563836400,28.33333333333337,54,6.603999999999999
1563840000,26.666666666666742,17,0.254
1563843600,26.1111111111112,17,0.254
1563847200,25.5555555555556,17,0.254
1563850800,25.000000000000057,17,0.254
1563854400,25.000000000000057,17,0.254
1563858000,24.444444444444514,17,0.254
1563861600,24.444444444444514,5,0
1563865200,24.444444444444514,5,0
1563868800,23.88888888888897,5,0
1563872400,23.88888888888897,5,0
1563876000,23.88888888888897,5,0
1563879600,24.444444444444514,5,0
1563883200,24.444444444444514,30,0.762
1563886800,26.666666666666742,30,0.762
1563890400,28.33333333333337,30,0.762
1563894000,30.000000000000057,30,0.762
1563897600,30.5555555555556,30,0.762
1563901200,31.1111111111112,30,0.762
1563904800,31.666666666666742,56,2.032
1563908400,31.1111111111112,56,2.032
1563912000,31.1111111111112,56,2.032
1563915600,31.1111111111112,56,2.032
1563919200,29.444444444444514,56,2.032
1563922800,28.33333333333337,56,2.032
1563926400,27.222222222222285,18,0.254
1563930000,26.666666666666742,18,0.254
1563933600,26.1111111111112,18,0.254
1563937200,25.5555555555556,18,0.254
1563940800,25.000000000000057,18,0.254
1563944400,25.000000000000057,18,0.254
1563948000,24.444444444444514,8,0
1563951600,24.444444444444514,8,0
1563955200,24.444444444444514,8,0
1563958800,23.88888888888897,8,0
1563962400,24.444444444444514,8,0
1563966000,25.000000000000057,8,0
1563969600,25.000000000000057,33,1.778
1563973200,26.666666666666742,33,1.778
1563976800,28.33333333333337,33,1.778
1563980400,30.000000000000057,33,1.778
1563984000,30.000000000000057,33,1.778
1563987600,30.5555555555556,33,1.778
1563991200,30.5555555555556,63,4.571999999999999
1563994800,30.5555555555556,63,4.571999999999999
1563998400,30.5555555555556,63,4.571999999999999
1564002000,30.000000000000057,63,4.571999999999999
1564005600,28.88888888888897,63,4.571999999999999
1564009200,27.77777777777783,63,4.571999999999999
1564012800,26.666666666666742,24,0.508
1564016400,26.1111111111112,24,0.508
1564020000,25.5555555555556,24,0.508
1564023600,25.000000000000057,24,0.508
1564027200,25.000000000000057,24,0.508
1564030800,24.444444444444514,24,0.508
1564034400,24.444444444444514,1,0
1564038000,23.88888888888897,1,0
1564041600,23.88888888888897,1,0
1564045200,23.33333333333337,1,0
1564048800,23.88888888888897,1,0
1564052400,24.444444444444514,1,0
1564056000,24.444444444444514,31,0.762
1564059600,26.1111111111112,31,0.762
1564063200,27.77777777777783,31,0.762
1564066800,29.444444444444514,31,0.762
1564070400,30.000000000000057,31,0.762
1564074000,30.000000000000057,31,0.762
1564077600,30.5555555555556,54,2.54
1564081200,30.5555555555556,54,2.54
1564084800,30.000000000000057,54,2.54
1564088400,30.000000000000057,54,2.54
1564092000,28.88888888888897,54,2.54
1564095600,27.77777777777783,54,2.54
1564099200,26.666666666666742,23,0.254
1564102800,26.1111111111112,23,0.254
1564106400,25.5555555555556,23,0.254
1564110000,25.000000000000057,23,0.254
1564113600,25.000000000000057,23,0.254
1564117200,24.444444444444514,23,0.254
1564120800,24.444444444444514,7,0
1564124400,24.444444444444514,7,0
1564128000,23.88888888888897,7,0
1564131600,23.88888888888897,7,0
1564135200,23.88888888888897,7,0
1564138800,24.444444444444514,7,0
1564142400,24.444444444444514,33,0.762
1564146000,26.1111111111112,33,0.762
1564149600,28.33333333333337,33,0.762
1564153200,30.000000000000057,33,0.762
